component_id,component_name,source,source_url,checked_date,notes
lens-fe400f45,FE 400mm F4.5 GM OSS,Sony Europe,https://www.sony.co.uk/presscentre/sony-announces-new-400-mm-and-600-mm-g-master-super-telephoto-prime-lenses-the-worlds-lightest-lenses-in-their-class,2026-09-15,Official announcement: 400 mm F4.5; 994 g excluding tripod foot; SEL14TC compatible; approx. EUR 2800.
lens-fe600f63,FE 600mm F6.3 GM OSS,Sony Europe,https://www.sony.co.uk/presscentre/sony-announces-new-400-mm-and-600-mm-g-master-super-telephoto-prime-lenses-the-worlds-lightest-lenses-in-their-class,2026-09-15,Official announcement: 600 mm F6.3; 995 g excluding tripod foot; SEL14TC compatible; approx. EUR 3900.
tc-sony14,SEL14TC 1.4x,Sony,https://www.sony.com/en-bh/electronics/camera-lenses/sel14tc/specifications,2026-09-15,Official specification: 167 g; approximately one stop light loss.
lens-om150400,M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,OM SYSTEM,https://explore.omsystem.com/us/en/m-zuiko-ed-150-400mm-f4-5-tc1-25x-is-pro,2026-09-15,"Official specification: 150-400mm F4.5; with built-in 1.25x TC engaged 187.5-500mm F5.6, equivalent 375-1000mm; lens weight 1875 g."
lens-om150600,M.Zuiko Digital ED 150-600mm F5.0-6.3 IS,OM SYSTEM,https://explore.omsystem.com/us/en/m-zuiko-ed-150-600mm-f5-0-6-3-is,2026-09-16,Official specification and MC-14 compatibility.
lens-xf400f45,XF400mmF4.5 R LM OIS WR,Fujifilm,https://fujifilm-x.com/global/products/lenses/xf400mmf45-r-lm-ois-wr/specifications/,2026-09-16,Official 400mm F4.5 specification; XF1.4X compatibility audited separately.
lens-z100400,NIKKOR Z 100-400mm f/4.5-5.6 VR S,Nikon,https://www.nikonusa.com/p/nikkor-z-100-400mm-f45-56-vr-s/20106/overview,2026-09-16,Official specification; Z TC-1.4x compatibility audited separately.
lens-fe100400b,FE 100-400mm F5.6-8 OSS,Sony,https://www.sony.com/electronics/support/lenses-e-mount-lenses/sel100400/specifications,2026-09-16,Official specifications and SEL14TC compatibility.
lens-fe100400gm,FE 100-400mm F4.5-5.6 GM OSS,Sony,https://www.sony.com/electronics/support/lenses-e-mount-lenses/sel100400gm/specifications,2026-09-16,Official specifications and SEL14TC compatibility.
lens-fe100400mc,FE 100-400mm F4.5 GM OSS,Sony,https://www.sony.com/electronics/support/lenses-e-mount-lenses/sel100400mc/specifications,2026-09-16,Official specifications and SEL14TC compatibility.
