system_id,brand,list_name,display_name,body,lens,teleconverter,actual_focal_length_mm,actual_f_stop,equiv_focal_length_mm,equiv_f_stop,system_weight_g,system_price_chf,price_checked_date,price_component_ids,price_basis
om1ii-100400-400,OM System,OM System — OM-1 II — M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II @ 400 mm,OM System — OM-1 II — M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II @ 400 mm,OM System OM-1 II,M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II,none,400,6.3,800,12.6,1724,3026,2026-09-19,body-om1ii|lens-om100400ii,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-100400-400-14x,OM System,OM System — OM-1 II — M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II @ 400 mm + MC-14 1.4×,OM System — OM-1 II — M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II @ 400 mm + MC-14 1.4×,OM System OM-1 II,M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II,MC-14 1.4x,560,8.82,1120,17.64,1829,3475,2026-09-19,body-om1ii|lens-om100400ii|tc-om-mc14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-300f4,OM System,OM System — OM-1 II — M.Zuiko Digital ED 300mm F4.0 IS PRO,OM System — OM-1 II — M.Zuiko Digital ED 300mm F4.0 IS PRO,OM System OM-1 II,M.Zuiko Digital ED 300mm F4.0 IS PRO,none,300,4,600,8,1869,4136,2026-09-19,body-om1ii|lens-om300f4,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-300f4-14x,OM System,OM System — OM-1 II — M.Zuiko Digital ED 300mm F4.0 IS PRO + MC-14 1.4×,OM System — OM-1 II — M.Zuiko Digital ED 300mm F4.0 IS PRO + MC-14 1.4×,OM System OM-1 II,M.Zuiko Digital ED 300mm F4.0 IS PRO,MC-14 1.4x,420,5.6,840,11.2,1974,4585,2026-09-19,body-om1ii|lens-om300f4|tc-om-mc14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-150400-400,OM System,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 400 mm + built-in TC disengaged,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 400 mm + built-in TC disengaged,OM System OM-1 II,M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,TC disengaged,400,4.5,800,9,2474,8197,2026-09-19,body-om1ii|lens-om150400,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-150400-500-tc,OM System,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 500 mm + built-in 1.25× TC engaged,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 500 mm + built-in 1.25× TC engaged,OM System OM-1 II,M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,built-in 1.25x engaged,500,5.6,1000,11.2,2474,8197,2026-09-19,body-om1ii|lens-om150400,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-150400-400-14x,OM System,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 400 mm + MC-14 1.4× (built-in TC disengaged),OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 400 mm + MC-14 1.4× (built-in TC disengaged),OM System OM-1 II,M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,MC-14 1.4x; built-in TC disengaged,560,6.3,1120,12.6,2579,8646,2026-09-19,body-om1ii|lens-om150400|tc-om-mc14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-150400-700-builtin-14x,OM System,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 400 mm + built-in 1.25× TC + MC-14 1.4×,OM System — OM-1 II — M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO @ 400 mm + built-in 1.25× TC + MC-14 1.4×,OM System OM-1 II,M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,MC-14 1.4x; built-in 1.25x engaged,700,7.88,1400,15.76,2579,8646,2026-09-19,body-om1ii|lens-om150400|tc-om-mc14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-150600-600,OM System,OM System — OM-1 II — M.Zuiko Digital ED 150-600mm F5.0-6.3 IS,OM System — OM-1 II — M.Zuiko Digital ED 150-600mm F5.0-6.3 IS,OM System OM-1 II,M.Zuiko Digital ED 150-600mm F5.0-6.3 IS,none,600,6.3,1200,12.6,2664,3886,2026-09-19,body-om1ii|lens-om150600,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-150600-600-14x,OM System,OM System — OM-1 II — M.Zuiko Digital ED 150-600mm F5.0-6.3 IS + MC-14 1.4×,OM System — OM-1 II — M.Zuiko Digital ED 150-600mm F5.0-6.3 IS + MC-14 1.4×,OM System OM-1 II,M.Zuiko Digital ED 150-600mm F5.0-6.3 IS,MC-14 1.4x,840,8.82,1680,17.64,2769,4335,2026-09-19,body-om1ii|lens-om150600|tc-om-mc14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
